X,Y
1140920.8323275442,1914540.7683155648
1162599.1179799999,1899075.99549
1148081.54711,1902960.08757
1173019.7315595043,1881580.156518894
1166050.82666,1876844.61063
1164461.2704277753,1863577.7586791886
1165233.220936897,1865320.015979816
1149604.2715486134,1857727.9750423585
1147128.60864,1856943.4140200017
1178342.63802,1876195.4509899998
1172847.7728400005,1825091.03657
1191373.52774,1824401.6743699997
1185280.2479300003,1837397.7996700003
1162806.377727976,1846443.6041401166
1180040.957234109,1880322.0895671176
1175982.295624121,1895168.7262458147
1177863.0820819922,1895105.0927152757
1177713.0896768572,1894859.089726857
1133688.8907703918,1928987.350241978
1166397.555550334,1940688.438768459
1168388.4263088002,1915184.586893685
1131699.3432515047,1922284.699660088
1145108.5855970685,1902592.5473820798
1171785.5888237548,1879186.927210982
1151351.486557984,1862408.3948356889
1175484.0595916985,1867486.3591592764
1187977.0315691114,1835756.7937263842
1164585.0770532733,1835143.8866926038
1131747.9822731388,1933212.1979217601
1140450.614908768,1928836.998182691
1143211.574105831,1933097.2031601022
1156871.9927386085,1933974.4503317743
1164141.9030312693,1937804.295164189
1162451.6885174504,1938670.245038575
1168243.3079195083,1918148.4708884307
1160610.1003526659,1915902.7900907015
1161819.4828745543,1914217.019320883
1130073.5262176844,1919090.2930033938
1134127.039330014,1918120.9822986815
1146845.1510762926,1907157.3145089657
1162670.2881458446,1901760.9068266079
1159585.4395664257,1898326.2706128322
1148888.7533451144,1900130.928848013
1178677.569289484,1879235.5331135876
1173997.7646666318,1880204.4588497777
1163643.5788298494,1867724.5690790196
1170782.8171660167,1871003.9243307775
1146470.624441776,1860345.4944315841
1151378.823779624,1858207.4903286719
1173856.024754032,1858053.9449021812
1178981.5861364112,1856216.9833695646
1194460.351438657,1843920.216600051
1175611.6272997982,1828987.075799181
1180247.1231231736,1844478.2094571725
1158169.823418383,1832857.0563375412
1176424.2780170995,1898432.519814219
1177263.6569981554,1903371.82478913
1174441.1507698353,1894151.4836471057
1176577.9804173282,1900370.4083003285
1174250.6302280147,1897276.9597249313
1174447.4230068314,1913647.237683706
1179643.5202699997,1890827.96797
1176766.8206008023,1905607.4568196444
1174088.4784256455,1919469.8697145719
1188825.7157705782,1870544.3089779315
1172436.882067435,1924505.4813302564
1185443.8214420793,1874509.6075216064
1198980.8469628522,1846343.4477697897
1175015.2093548777,1888813.1827967686
1169979.7457701014,1903904.7535223234
1176979.3818731867,1899337.329217092
1136090.8851198035,1939474.2139415178
1160638.8651876834,1934821.2734005323
1158472.0270764434,1912963.583070005
1144292.769033409,1910174.4002585069
1151193.542079595,1898133.5462769282
1155007.5406584658,1883597.2007734259
1179058.4051613421,1875523.1926351304
1184707.743142713,1863408.8923028728
1178675.5815704311,1834958.6733626262
1173304.6897489151,1828878.377957617
1136314.397195434,1933790.9012378098
1164349.3818686218,1939474.0641631326
1158534.8442970586,1917072.9543762845
1143418.4309147978,1913543.2483068365
1159291.6784129913,1905413.5194148726
1148692.8027604627,1900171.5439207745
1169124.9711073015,1880218.6990838086
1161760.8490064966,1868850.5027677054
1151306.0254195877,1865395.4783640648
1180891.6739197916,1859692.9182883503
1180703.4321429615,1834067.299170929
1158302.0468964276,1830896.865458319
1173373.2326827855,1897112.4777249494
1173009.2370891832,1893747.475157126
1175148.0209111082,1907347.0733846165
1175320.2134193971,1899361.0890887098
1180625.6292919435,1888668.7355988605
1176515.8574088675,1909519.4296343166
1181142.99421633,1888500.5229178062
1185555.2816418477,1877128.0780444108
1137040.5982170478,1931030.8985806343
1162771.0983739996,1928152.0775315403
1158572.5249059116,1911726.582208357
1148157.1059962618,1908853.686605375
1167351.2703406313,1895719.3319549134
1155247.5975177048,1890926.0916644253
1167147.9608500001,1878603.4487400006
1167192.51124,1863638.924243333
1137560.3881073545,1867613.6681388803
1176956.7950924681,1835634.7867989955
1171703.707173465,1826523.723119946
1176039.0423632842,1891752.7334753189
1174617.696594178,1903203.286892496
1175863.005449209,1902956.7414156361
1177018.267028967,1890888.2513024444
1182284.8185215122,1883787.9289668158
1181533.217994858,1886946.34000275
1177221.3031456748,1902449.9782005595
1172352.2955283409,1919542.511067377
1167368.7383076847,1917089.3723192331
1170713.4282506616,1884994.3720448387
1171838.2623447308,1835099.3285860969
1183534.0211599397,1879990.2036134403
1176922.7457271058,1899852.6377261996
1176184.6942849543,1895425.016872154
1178079.7589259231,1901593.0859287176
1155298.72985,1882894.1717599998
1189815.1441799998,1839052.47124
1189475.8139133332,1839137.81685
1189456.36497,1838331.6175449998
1172041.037714,1875586.013716
1127415.570679657,1937173.5976843305
1179320.0736412688,1864793.8553624467
1189830.20235,1839047.865495
1169674.3245636667,1863979.2400804702
1165844.1319881817,1913212.863623355
1172588.7640811265,1832451.0885993436
1147180.3857499256,1905423.9352337248
1164192.067626202,1934975.7182724997
1127983.102993562,1943131.737093333
1190247.432934587,1836922.986999159
1160775.1729639326,1944239.3137637354
1177943.3220375846,1903161.429486358
1182944.290482347,1875172.2638271344
1189419.74486,1838288.1145549999
1162594.941565194,1868042.7719247777
1165858.877601672,1904570.7217409788
1180329.4848633183,1865533.8882776052
1183717.3891372376,1833022.8061919464
1170539.4340595547,1839564.5639618537
1168743.1953932259,1913015.4216372578
1145293.583611923,1904559.0196346156
1183547.8195866665,1845010.40503
1170704.0242879028,1876288.670000949
1164050.6505587066,1869405.4000484345
1133396.9258743068,1928913.61181014
1163914.428475784,1942187.3719159935
1159890.1131653208,1932933.5327213109
1178430.3043378827,1901124.5783131085
1167837.0283174638,1918977.5079766945
1160824.3532334948,1910601.328615727
1149093.0009860052,1911708.6373009607
1146157.7230245967,1913730.8722144107
1169108.7474244789,1916076.9981559517
1166278.5534830114,1915274.3982195558
1148463.020550813,1899342.6939185942
1166250.7047272192,1882393.7490578785
1180246.6775595874,1865620.3127615678
1157707.0210598856,1870698.7190298766
1160788.0308428747,1866297.1309505978
1179651.5225067604,1863640.8598379605
1176421.2125857186,1860857.578603674
1170121.294285386,1840627.0806324543
1185891.7909737488,1834481.6899601663
1191148.109658723,1839944.2476991303
1164641.4676999194,1832101.3567190266
1166795.8553329017,1833749.1624993694
1133505.4389717677,1924510.076351174
1157767.1452872232,1913562.6254407398
1164871.3103166947,1908310.0868648984
1193116.6325507942,1856413.1209948708
1149056.2125759507,1899585.9874328468
1174577.406815491,1886369.682482644
1172903.428675427,1866308.730509403
1150388.0385115508,1863939.8741642353
1182507.063045998,1836619.2245137845
1181184.9348247554,1844955.3214583036
1133722.5064939957,1932201.3966124163
1139276.1176254994,1934786.676370468
1161239.8421644948,1946379.5459526607
1158589.748444357,1943550.6961505138
1166729.322584136,1932366.2587634886
1164416.4272824896,1907922.5561000807
1166337.5611505883,1914311.613435294
1164318.5802931422,1916365.402227974
1162512.3913323234,1933169.5516411166
1157785.906498194,1940665.5370053693
1156384.0777943153,1900564.536748388
1154474.2002148514,1898987.4059035066
1161198.8241969002,1929622.949314256
1150290.0217240623,1898013.0098682588
1164725.869634609,1874289.7604353926
1175992.4163896283,1868939.6635273113
1167257.397656086,1864194.7340533282
1160861.3441419578,1856891.4708503706
1140557.597319924,1867286.2617859507
1189109.9610600001,1838506.9785200001
1173502.9800581767,1847016.9171245235
1181658.7427989605,1835278.14240147
1183672.944869247,1827704.9025632443
1178360.4028203622,1841677.8874796738
1170295.3347379998,1833974.459452
1172848.015202,1825912.273888
1176063.1905738607,1828630.4749432832
1166127.7968081841,1835901.3757915392
1137668.9800381684,1931301.3264013594
1141802.8012123448,1926754.4915403714
1158257.8237997345,1939467.1163407215
1194192.6940759136,1852598.07676713
1144107.9055438433,1914184.6761192142
1161582.6520487152,1899813.7766351546
1170008.3578466289,1884709.3405506634
1163667.1368716462,1882489.5649899084
1175234.3564377846,1861932.4516725098
1149871.3438898067,1863465.1663672733
1175870.1682406522,1868427.6450974953
1161893.1343200996,1884070.9209994066
1167044.851584754,1859570.8169484388
1161357.0302487588,1871293.6662992695
1165936.6441861514,1918092.0617308507
1165524.9368152185,1895895.831052197
1145280.3260713872,1867826.154723626
1188192.8563578324,1847103.3548624523
1189683.6201358568,1837350.906510559
1189097.7752735717,1838495.289089286
1177201.0172345275,1832387.5561391965
1141054.094714554,1924124.412628317
1132942.0220973261,1926670.0807133657
1132989.3756957538,1926104.8011784933
1190656.2867417075,1840537.4347648781
1183909.334414242,1846693.1682073167
1192135.7390655589,1838576.5742735183
1147639.195369893,1903100.2905663734
1160299.9917132438,1926829.5616818222
1155170.4139358425,1868268.6748855645
1176342.8380164758,1878529.5848466195
1174901.256897945,1895594.900941621
1150637.5710583816,1869573.3383115502
1150552.9744968063,1867273.5660005752
1172838.3781275905,1903652.892899665
1141659.4127730273,1924835.3847219977
1146368.217101377,1928213.525381699
1166601.970957173,1921134.5161614793
1156176.4616642727,1909273.6336986353
1178640.9569449218,1861185.576000529
1185211.1441012688,1842098.276936463
1163343.4656634822,1940459.1717471976
1139052.0050808683,1932019.332954248
1159783.1945484637,1905811.6053853924
1156390.6646292626,1872632.5161810024
1158065.9145104035,1831973.1949441505
1165239.046148459,1924994.886965603
1163622.8224367546,1942698.8012057494
1175277.1243078199,1844811.9932298916
1165982.2971800617,1837869.5873619018
1190037.5647170104,1864916.672930722
1190473.0040471335,1866772.8792241744
