object_id,X,Y
11927,1164871.3103166947,1908310.0868648984
11928,1193116.6325507942,1856413.1209948708
11929,1149056.2125759507,1899585.9874328468
11930,1174577.406815491,1886369.682482644
11931,1172903.428675427,1866308.730509403
11932,1150388.0385115508,1863939.8741642353
11933,1182507.063045998,1836619.2245137845
11934,1181184.9348247554,1844955.3214583036
11940,1133722.5064939957,1932201.3966124163
11941,1139276.1176254994,1934786.676370468
11942,1161239.8421644948,1946379.5459526607
11943,1158589.748444357,1943550.6961505138
11944,1166729.322584136,1932366.2587634886
11945,1164416.4272824896,1907922.5561000807
11946,1166337.5611505883,1914311.613435294
11947,1164318.5802931422,1916365.402227974
11948,1162512.3913323234,1933169.5516411166
11949,1157785.906498194,1940665.5370053693
11950,1156384.0777943153,1900564.536748388
11951,1154474.2002148514,1898987.4059035066
11952,1161198.8241969002,1929622.949314256
11953,1150290.0217240623,1898013.0098682588
11954,1164725.869634609,1874289.7604353926
11955,1175992.4163896283,1868939.6635273113
11956,1167257.397656086,1864194.7340533282
11957,1160861.3441419578,1856891.4708503706
11958,1140557.597319924,1867286.2617859507
11959,1189109.9610600001,1838506.9785200001
11960,1173502.9800581767,1847016.9171245235
11961,1181658.7427989605,1835278.14240147
11962,1183672.944869247,1827704.9025632443
11963,1178360.4028203622,1841677.8874796738
11964,1170295.3347379998,1833974.459452
11965,1172848.015202,1825912.273888
11966,1176063.1905738607,1828630.4749432832
11967,1166127.7968081841,1835901.3757915392
11968,1137668.9800381684,1931301.3264013594
11969,1141802.8012123448,1926754.4915403714
11970,1158257.8237997345,1939467.1163407215
11971,1194192.6940759136,1852598.07676713
11973,1144107.9055438433,1914184.6761192142
11974,1161582.6520487152,1899813.7766351546
11975,1170008.3578466289,1884709.3405506634
11976,1163667.1368716462,1882489.5649899084
11977,1175234.3564377846,1861932.4516725098
11978,1149871.3438898067,1863465.1663672733
11979,1175870.1682406522,1868427.6450974953
11980,1161893.1343200996,1884070.9209994066
11981,1167044.851584754,1859570.8169484388
11982,1161357.0302487588,1871293.6662992695
11983,1165936.6441861514,1918092.0617308507
11984,1165524.9368152185,1895895.831052197
11985,1145280.3260713872,1867826.154723626
11986,1188192.8563578324,1847103.3548624523
11987,1189683.6201358568,1837350.906510559
11988,1189097.7752735717,1838495.289089286
11989,1177201.0172345275,1832387.5561391965
13201,1141054.094714554,1924124.412628317
13202,1132942.0220973261,1926670.0807133657
13203,1132989.3756957538,1926104.8011784933
13204,1190656.2867417075,1840537.4347648781
13205,1183909.334414242,1846693.1682073167
13206,1192135.7390655589,1838576.5742735183
13207,1147639.195369893,1903100.2905663734
13208,1160299.9917132438,1926829.5616818222
13209,1155170.4139358425,1868268.6748855645
13210,1176342.8380164758,1878529.5848466195
13211,1174901.256897945,1895594.900941621
13213,1150637.5710583816,1869573.3383115502
13215,1150552.9744968063,1867273.5660005752
13217,1172838.3781275905,1903652.892899665
13219,1141659.4127730273,1924835.3847219977
13223,1146368.217101377,1928213.525381699
13224,1166601.970957173,1921134.5161614793
13225,1156176.4616642727,1909273.6336986353
13226,1178640.9569449218,1861185.576000529
13227,1185211.1441012688,1842098.276936463
13228,1163343.4656634822,1940459.1717471976
13229,1139052.0050808683,1932019.332954248
13230,1159783.1945484637,1905811.6053853924
13231,1156390.6646292626,1872632.5161810024
13232,1158065.9145104035,1831973.1949441505
13264,1165239.046148459,1924994.886965603
13265,1163622.8224367546,1942698.8012057494
13267,1175277.1243078199,1844811.9932298916
13268,1165982.2971800617,1837869.5873619018
19990,1190037.5647170104,1864916.672930722
19991,1190473.0040471335,1866772.8792241744
